,Freq
rhetoric_NN,1
Rhimes_NP,1
rich_JJ,1
ridiculous_JJ,1
rig_VVN,1
right_JJ,1
right_NN,1
rightness_NN,1
risk_VV,1
rivalry_NNS,1
roar_NN,1
round_NN,1
ruling_NN,1
run_NN,1
run_VV,1
run_VVP,1
run_VVZ,1
S_NN,1
sacrifice_VVN,1
Sasha_NP,1
sauce_NN,1
save_VV,1
say_VVD,1
say_VVZ,1
scholar_NNS,1
scholarship_NN,1
school_NNS,1
scourge_NNS,1
scrape_VVD,1
script_NN,1
second_RB,1
secure_VVG,1
see_VV,1
see_VVG,1
see_VVP,1
seed_NNS,1
seem_VVZ,1
segregation_NN,1
Selma_NP,1
seminal_JJ,1
senator_NN,1
senior_JJ,1
separate_JJ,1
serve_VVN,1
serve_VVP,1
seventy_NNS,1
several_JJ,1
sexuality_NN,1
shadow_NN,1
shape_NN,1
shape_VVG,1
share_NN,1
shatter_VVP,1
sheriff_NN,1
Shonda_NP,1
shoot_NN,1
show_VV,1
shuttle_VVN,1
side_NN,1
side_NNS,1
significant_JJ,1
similar_JJ,1
sister_NN,1
sixty_NNS,1
slash_VVN,1
slave_NNS,1
slavery_NN,1
sleepwalk_VV,1
small_JJ,1
smart_JJ,1
soap_NN,1
soar_VVG,1
soldier_NNS,1
solve_VV,1
somebody_NN,1
somehow_RB,1
song_NN,1
sort_NNS,1
sound_VV,1
source_NN,1
sow_VVN,1
speak_VV,1
speak_VVG,1
speak_VVZ,1
speaker_NNS,1
special_JJ,1
spend_VVG,1
spiral_NN,1
sport_NN,1
spur_VV,1
stagnation_NN,1
stair_NN,1
stand_VVD,1
standard_NN,1
start_VVD,1
start_VVG,1
start_VVN,1
statement_NN,1
stay_VV,1
stay_VVD,1
stereotype_NNS,1
stick_VVN,1
stir_VV,1
straight_JJ,1
straitjacket_NN,1
stranglehold_NN,1
strengthen_VVN,1
structural_JJ,1
structure_NNS,1
struggle_NN,1
struggle_VVN,1
studio_NN,1
study_VV,1
style_NN,1
subsequent_JJ,1
succeed_VVD,1
succeed_VVP,1
suffer_VVD,1
suggestion_NNS,1
sure_JJ,1
sure_RB,1
T._NP,1
Ta-Nehisi_NP,1
table_NN,1
take_NN,1
talented_JJ,1
talk_VVP,1
tall_JJ,1
task_NN,1
Task_NP,1
teach_VV,1
teach_VVZ,1
team_NN,1
tear_VVN,1
technological_JJ,1
technology_NN,1
teen_JJ,1
tell_VV,1
tell_VVD,1
tell_VVZ,1
term_NNS,1
terrorism_NN,1
test_NN,1
thank_VV,1
thanks_NNS,1
think_VVD,1
thinking_NN,1
threaten_VVP,1
Thursday_NP,1
ticket_NN,1
tie_NN,1
tired_JJ,1
today_RB,1
toil_VVD,1
touch_NN,1
tower_NNS,1
transgender_NN,1
travel_VV,1
treat_VVN,1
trend_NN,1
trifle_VVG,1
trust_NN,1
Trustees_NP,1
try_VVN,1
try_VVP,1
Tubman_NP,1
turn_NN,1
turn_VVN,1
turnout_NN,1
TV_NN,1
Twitter_NP,1
uncompromising_JJ,1
unconscious_JJ,1
underfund_VVN,1
undergo_VVN,1
underground_RB,1
understand_VV,1
unequivocally_RB,1
unfair_JJ,1
unfairly_RB,1
unfairness_NN,1
unique_JJ,1
university_NN,1
unjust_JJ,1
upend_VVN,1
uplift_NN,1
use_VVD,1
use_VVN,1
useful_JJ,1
valid_JJ,1
value_NNS,1
variation_NN,1
version_NNS,1
victim_NN,1
videotape_VVG,1
view_NN,1
violence_NN,1
vital_JJ,1
volunteer_VVD,1
volunteer_VVG,1
vote_VVG,1
vulnerable_JJ,1
wagon_NNS,1
walk_VV,1
wall_NN,1
want_VVD,1
war_NN,1
War_NP,1
way_NNS,1
wealthy_JJ,1
whip_VV,1
whisper_VVN,1
whole_JJ,1
Wilmore_NP,1
win_VVD,1
win_VVZ,1
winner_NN,1
wonder_VVG,1
word_NNS,1
work_VVZ,1
worker_NNS,1
workforce_NN,1
worldwide_RB,1
worry_VV,1
write_VVD,1
write_VVZ,1
yard_NN,1
York_NP,1
youth_NN,1
Zero_NP,1
Zora_NP,1
